TNS Name,flux,flux_err,T_rise,T_rise_upper,T_rise_lower,T_fall,T_fall_upper,T_fall_lower,T_max,T_max_err,t_minus_half,t_minus_half_err,t_plus_half,t_plus_half_err,t_minus_five,t_plus_five
2019agx,112.1773877992767,6.974582859647212,3.6940535649311013,0.5943105228210097,-0.682102378591539,46.45947502631941,4.496423733042192,-4.790875460117995,58528.345672084375,1.6685758770209635,58517.29245774495,1.0540067944364442,58566.09595245651,2.377465447772042,58502.217386092096,58722.110200948955
2019ape,190.12019511178443,22.25068928543833,2.4053446603264015,1.0501313320590244,-1.239397515512851,46.50800914405885,5.18163884807057,-6.214892827208317,58525.695572542645,2.6833883029415935,58518.08810011109,1.194904250335834,58561.08576263116,2.6718707497239502,58509.85944408409,58684.75237503604
2019azq,151.52662664449218,9.886579625384194,2.901792323023477,0.690873518702042,-0.7135265647891407,51.55263725777485,5.174078857838275,-6.193398180809282,58539.223974209206,1.5424946042997545,58530.00873844345,1.1332247239900308,58579.34206990091,2.70582211745334,58519.90353194594,58728.28571843243
2019bkc,549.5849156687051,149.12167214913967,0.6925779439228731,0.4819828299588425,-0.29623605526029473,3.4783965371987513,0.452174413585523,-0.5178118039970103,58545.61914800553,2.9642117666690533,58514.743950592754,88.8432072582917,58549.065679628155,1.354748123545871,58542.767937592595,58558.07801640741
2019bml,110.24803568821265,9.240032017040749,2.779954290355109,1.164386808502787,-1.0579858015178378,20.579744308489737,3.757337665803405,-3.8989224382290786,58544.80389556489,2.3820031953525267,58537.66605545749,2.070850639578458,58562.75228143899,1.8799297864312356,58527.66493882582,58623.720382717715
2019bjv,1412.46518316835,730.8006287297196,2.7466774291799294,2.0858914776005735,-3.467134589672566,58.5284165581878,1.4863206571273793,-1.5967055245535775,58473.31771910663,28.359602175644316,58458.41031304186,23.67994274296238,58495.38607593656,17.942832040008494,58455.7480405986,58647.40330514314
2019bgl,1495.5388397461666,1588.1904985937024,3.021033345187771,2.272443402627075,-3.9614315342600435,32.78917586378505,3.9772599823957684,-4.118023261185009,58488.667768252955,25.71629751425327,58466.21646581661,14.167303593377177,58496.316987302205,8.683368387121236,58470.25295223424,58574.70077577778
2019but,31413.68513807054,20057.639643988372,169.1612362307345,78.93540610008289,-68.29167924212825,234.87129068516077,82.78105252991764,-44.6135651362863,86889.38851014893,43228.03745761069,,,,,,58844.664299
2019bwa,322.6282455476262,25.324679620110352,2.3084773575377193,0.9622398861324108,-0.8603516585539523,39.846115027070134,4.479969956464238,-4.64128352096958,58560.73706641848,2.46739126895115,58553.866946752285,1.328399122486118,58591.087171007486,2.1649538979364555,58546.80438250551,58689.4616807948
2019ccm,225.26423388641678,8.987828808955639,3.594947450589342,0.5113318411126335,-0.5724837433808494,63.0032221604901,11.679301851019375,-8.085124999700923,58565.931387438395,1.362431134922176,58554.54953238751,0.66241743366788,58612.72971612525,7.250107418721657,58543.011348072076,58779.00137926327
2019clq,914.5671969037198,12.49594465621612,1.1003653878605621,0.10824595387511948,-0.09498017600291053,56.621826956875935,2.143774459517232,-2.2410009176333006,58575.74593830446,0.24632289758083137,58564.722883325994,36.784944819267565,58615.03025482521,7.367024266465053,58568.01325301201,58749.256109822825
2019cda,212.25308876713007,7.363620467371901,3.4763133546751654,0.5475528862352408,-0.5100783811639169,26.945662381035547,2.1564801639299738,-2.277347275131472,58574.98741175231,0.7214874187303092,58565.74105152752,0.8384818898867963,58598.10901659492,1.0816956549132788,58553.60041694094,58670.36338295095
2019cad,396.26999678326365,9.266154483591167,5.052750367744117,0.1808111163914745,-0.18978660913704992,8.463959757033951,0.6642851939324608,-0.7458133700542806,58596.577116706634,0.6635778218724944,58581.95091175942,0.596586097473553,58609.48006112597,0.6560978324510407,58551.47532762763,58630.963218332334
2019cqr,44.61172803643192,14.922495057346083,9.189547870459783,6.329057443482501,-9.967723057340805,164.02470021937205,47.17882745859568,-63.12249730650004,58523.04578512294,34.65811422704598,58492.76770723429,32.8880034153802,58623.47889258083,54.30358591850044,58286.457695,58878.649107
2019deh,398.09175448012627,37.18252156779371,0.9686402279492137,0.4279934012263491,-0.23522115629849316,8.470622175427119,0.5579688495517425,-0.6437521989633854,58586.566301711704,0.427329120868428,58564.701971343384,73.32182233944582,58593.177102548536,1.745551377757633,58581.390756297296,58612.530024929925
2019dgz,99.97836429382349,6.7746876865188765,3.311569536919777,0.6312524939513935,-0.6949906574593165,26.09237381348653,3.6243420933753363,-4.2141057747474235,58590.86160650399,1.575550610047557,58582.03392388069,0.976957228964922,58613.10206103015,1.8069149509339604,58571.00795875876,58678.9599407968
2019cri,346.07184801286746,4.873531112741537,10.247690119280538,0.44677573191530584,-0.4140744184444234,61.793208579597305,3.958584416550387,-4.076880551029305,58610.73668078904,0.9947978502887733,58584.16508097937,0.6660624302886522,58665.73391116935,1.6922997156247184,58549.411061807805,58822.748339093094
2019bwi,216.47333355746943,6.904509800674936,3.401142645159189,0.374825234876186,-0.37685723207597777,31.689289906427803,2.176943000292205,-2.282245762525122,58571.21897041483,0.8748205953185999,58561.82281261134,0.5737621276723336,58597.52508286511,1.2262518265712106,58550.671883556555,58680.48395116616
2019bhh,117.84377439604678,10.852426205405912,2.9147912904751405,1.3161999696716395,-1.5198578116478152,46.090317221992876,5.9220092610171235,-6.510458346687017,58541.40974416819,3.4024303490014485,58532.34025567969,1.5401523155461159,58578.12675550724,3.1485889546326327,58520.02285328828,58735.05474817117
