local_designation ps1_designation id followup_flag_date
9H3P2ans PS19dgp 1215415970211217700 2019-08-22
9H3P2brd PS19fbe 1211826780204400200 2019-08-22
9H3P2alt PS19ehh 1232028210142434600 2019-08-22
9H3P2ame PS19erc 1221904550152505800 2019-08-22
9H3P2ane PS19ehk 1232440710081405800 2019-08-22
9H3P2amr PS19etj 1235106450084508900 2019-08-22
9H3P2amp PS19eti 1231307660132329200 2019-08-22
9H3P2aly PS19ehj 1235656510142139200 2019-08-22
9H3P2als PS19etc 1231357020113010600 2019-08-22
9H3P2alk PS19esw 1161830061182830100 2019-08-22
9H3P2amk PS19edg 1162305511192905700 2019-08-22
9H3P2aln PS19esy 1160408001181622100 2019-08-22
9H3P2amm PS19etg 1160429231200029200 2019-08-22
9H3P2alq PS19eta 1155627191191006600 2019-08-22
9H3P2all PS19edi 1161838531215822800 2019-08-22
9H3P2ana PS19eua 1222251711172254300 2019-08-22
9H3P2ang PS19eue 1163135541203630200 2019-08-22
9H3P2aao PS19est 1220737661220340100 2019-08-22
9H3P2anx PS19dyy 1165254761204303500 2019-08-22
9H3P2aap PS19dwn 1225004961210203500 2019-08-22
9H3P2aai PS19cot 1173940521343419900 2019-08-22
9H3P2amf PS19ete 1002627711380723600 2019-08-22
9H3P2aak PS19dlc 1171559511362312700 2019-08-22
9H3P2anp PS19euf 1171648741390853000 2019-08-22
9H3P2anq PS19eug 1173117351362702300 2019-08-22
9H3P2aae PS19esf 1171317711434703500 2019-08-22
9H3P2aaj PS19agw 1174053831384407500 2019-08-22
9H3P2aar PS19esu 1171314451395920400 2019-08-22
9H3P2alj PS19esv 1172431031415128700 2019-08-22
9H3P2aad PS19ese 1170716981402757800 2019-08-22
9H3P2amn PS19dro 1175010311401333000 2019-08-22
9H3P2anf PS19eud 1175932721445808500 2019-08-22
9H3P2ant PS19euh 1172444141404045300 2019-08-22
9H3P2amj PS19een 1001839980154806900 2019-08-23
9H3P2amo PS19eth 1004907020134602000 2019-08-23
9H3P2any PS19euj 1001525650141513700 2019-08-23
9H3P2anv PS19eui 1005024890120542500 2019-08-23
9H3P2alp PS19efm 1234421430051800300 2019-08-23
9H3P2aag PS19esg 1230957240011858800 2019-08-23
9H3P2aah PS19esh 1231250241064136300 2019-08-23
9H3P2aaq PS19dbj 1234954221024230000 2019-08-23
9H3P2anb PS19eub 1153302781402559200 2019-08-23
9H3P2aal PS19eit 1153838051365731000 2019-08-23
9H3P2aaf PS19dij 1160326881381102600 2019-08-23
9H3P2amg PS19etf 1153846781414113200 2019-08-23
9H3P2amd PS19etd 1160222261383938400 2019-08-23
9H3P2aoa PS19euk 1001404400240416300 2019-08-24
9H3P2anc PS19euc 1233749840242418300 2019-08-24
9H3P2ami PS19eeq 1001421750210918900 2019-08-24
9H3P2brc PS19fbc 1000815030183651100 2019-08-24
9H3P2aob PS19efw 1000605130190050700 2019-08-24
9H3P2alr PS19etb 1234659860225449700 2019-08-24
9H3P2amb PS19ecy 1230906580174027200 2019-08-24
9H3P2alv PS19bfl 1212939401030852700 2019-08-24
9H3P2alo PS19esz 1214500441022432500 2019-08-24
9H3P2aan PS19ess 1211532271052257400 2019-08-24
9H3P2alz PS19efo 1214232511045737400 2019-08-24
9H3P2aab PS19bit 1235723161305926300 2019-08-24
9H3P2aac PS19esd 1230540751273957400 2019-08-24
9H3P2amz PS19etz 1234116811253300000 2019-08-24
9H3P2apm PS19evq 1161052200123251300 2019-08-25
9H3P2bps PS19eir 1233335350153849800 2019-08-25
9H3P2bvi PS19fjr 1161328280113434800 2019-08-25
9H3P2bqx PS19exv 1235921460084334800 2019-08-25
9H3P2app PS19ayk 1170449600082055300 2019-08-25
9H3P2bpc PS19ewy 1215918530065937800 2019-08-25
9H3P2boy PS19equ 1165730790082824800 2019-08-25
9H3P2bpj PS19drm 1233236370075540500 2019-08-25
9H3P2bqc PS19dka 1224813330044305000 2019-08-25
9H3P2bqb PS19exk 1222304660030055300 2019-08-25
9H3P2aoh PS19euo 1011957771021440000 2019-08-25
9H3P2aqq PS19evt 1013800031021306200 2019-08-25
9H3P2aog PS19dtg 1013845061052845900 2019-08-25
9H3P2aod PS19bas 1223437511001032600 2019-08-25
9H3P2bqs PS19ext 1012352691040119900 2019-08-25
9H3P2bqr PS19exs 1220159560001933900 2019-08-25
9H3P2bnz PS19elt 1012357211010210900 2019-08-25
9H3P2aof PS19eun 1182859641265711000 2019-08-25
9H3P2amy PS19ety 1182143051305933400 2019-08-25
9H3P2apn PS19bpy 1180418471294400300 2019-08-25
9H3P2bqg PS19eop 1004343121370338900 2019-08-25
9H3P2bpw PS19exg 1003028101350858700 2019-08-25
9H3P2bqh PS19exl 1003606881401236600 2019-08-25
9H3P2apo PS19dwc 1182214841480624500 2019-08-25
9H3P2bol PS19ewl 1181902001500440300 2019-08-25
9H3P2bqa PS19exj 1005551781432924100 2019-08-25
9H3P2aoe PS19eum 1182315211524045700 2019-08-25
9H3P2aqn PS19evr 1184236431563548300 2019-08-25
9H3P2bqv PS19exu 1185515601484918700 2019-08-25
9H3P2bqd PS19egh 1231712990070241100 2019-08-26
9H3P2aov PS19eeh 1234310260025658600 2019-08-26
9H3P2bub PS19egf 1230157780052610500 2019-08-26
9H3P2bvd PS19dze 1002929390132842600 2019-08-26
9H3P2bvb PS19fjn 1005806000153330900 2019-08-26
9H3P2bqu PS19eis 1005733150155058500 2019-08-26
9H3P2bpn PS19exe 1000044610093353600 2019-08-26
9H3P2bpl PS19efq 1005457400091934100 2019-08-26
9H3P2bpr PS19ehi 1015737090085549500 2019-08-26
9H3P2boh PS19erb 1225045680113536000 2019-08-26
9H3P2bop PS19ecc 1223236000092221800 2019-08-26
9H3P2aon PS19dhp 1220633360080211200 2019-08-26
9H3P2bof PS19ewi 1222337100085948800 2019-08-26
9H3P2aqo PS19evs 1220705150081806000 2019-08-26
9H3P2aol PS19euq 1225229370110525900 2019-08-26
9H3P2bpe PS19ewz 1005332470112331600 2019-08-26
9H3P2bog PS19ewj 1021826230003305300 2019-08-26
9H3P2bnu PS19ewd 1024106030021120100 2019-08-26
9H3P2bov PS19ewt 1023013900041704200 2019-08-26
9H3P2bpi PS19exc 1204827081033112400 2019-08-26
9H3P2aqv PS19evv 1203038611041326300 2019-08-26
9H3P2box PS19ewu 1202017901054759900 2019-08-26
9H3P2bnx PS19ewe 1205801051022830100 2019-08-26
9H3P2bqm PS19exn 1161645331275010800 2019-08-26
9H3P2apk PS19evn 1201711721051640300 2019-08-26
9H3P2bnk PS19evw 1164751391265400000 2019-08-26
9H3P2boe PS19ewh 1172841391264651800 2019-08-26
9H3P2bpb PS19ewx 1165107441295738100 2019-08-26
9H3P2bom PS19ewm 1161122171294137500 2019-08-26
