time,band,magnitude,e_magnitude,diffmaglim,telescope
59468.326597199775,r,20.307819366455078,0.19231300055980682,,ZTF
59468.18311339989,g,19.99650001525879,0.21863900125026703,,ZTF
59466.32953700004,g,19.688899993896484,0.15845000743865967,,ZTF
59466.1584954001,r,20.013200759887695,0.12805600464344025,,ZTF
59464.30450229999,r,19.803800582885742,0.1331080049276352,,ZTF
59464.30450229999,r,19.803800582885742,0.1331080049276352,,ZTF
59464.23850690015,g,19.569400787353516,0.1276720017194748,,ZTF
59464.23850690015,g,19.569400787353516,0.1276720017194748,,ZTF
59462.28440969996,g,19.499500274658203,0.13931800425052643,,ZTF
59462.2378934999,r,19.538799285888672,0.14135600626468658,,ZTF
59460.328252300154,r,19.31999969482422,0.10371199995279312,,ZTF
59460.30722220009,g,19.343700408935547,0.15377700328826904,,ZTF
59458.24097219994,r,19.144800186157227,0.09324099868535995,,ZTF
59458.18157410016,g,19.104299545288086,0.13707299530506134,,ZTF
59454.30259260023,r,18.729799270629883,0.08895300328731537,,ZTF
59454.218356499914,g,18.632099151611328,0.0931209996342659,,ZTF
59452.30288190022,g,18.61240005493164,0.0798569992184639,,ZTF
59452.26532409992,r,18.803300857543945,0.061813998967409134,,ZTF
59450.29923610017,r,19.005800247192383,0.16224999725818634,,ZTF
59450.26939810021,g,18.75819969177246,0.1697150021791458,,ZTF
59456.292451,c,18.883903,0.08011,,ATLAS
59460.318389,c,19.125063,0.134862,,ATLAS
59464.297403,c,19.567774,0.156864,,ATLAS
59452.332022,o,18.738665,0.106073,,ATLAS
59454.312762,o,18.689113,0.06686,,ATLAS
59458.350224,o,19.119154,0.13647,,ATLAS
59462.29049,o,19.379448,0.17253,,ATLAS
59383.44815633285,i,25.440399999999997,2.2494480923106455,,Pan-STARRS
59384.4908443004,i,24.7198,3.89235,,Pan-STARRS
59395.474618832304,i,23.33,1.3734842117767518,,Pan-STARRS
59455.401011251175,i,18.865125,0.03211670126273876,,Pan-STARRS
59475.311058687475,i,20.8233,0.21373758053588413,,Pan-STARRS
59480.336399551656,i,21.276025,0.2316993508119237,,Pan-STARRS
59501.235677765995,i,21.643825,0.4019034160508387,,Pan-STARRS
59506.26249847971,i,22.614333333333335,0.2280402011342164,,Pan-STARRS
59806.4568937045,i,23.4146,2.93644,,Pan-STARRS
59807.40909512263,i,23.0711,1.4617398263713006,,Pan-STARRS
59808.43300437534,i,23.75645,0.6695594111055414,,Pan-STARRS
59830.3288742104,i,21.9129,1.1712516723573958,,Pan-STARRS
59834.3999215052,i,22.2459,2.13777,,Pan-STARRS
59836.381056223276,i,23.99476,1.1659275933779076,,Pan-STARRS
59837.3708834771,i,22.8982,2.04987,,Pan-STARRS
59838.37936834043,i,22.626733333333334,1.0450056092353437,,Pan-STARRS
