time,band,magnitude,e_magnitude,diffmaglim,telescope
59168.35358799994,r,19.640600204467773,0.13871100544929504,,ZTF
59151.342372700106,r,19.07080078125,0.21447999775409698,,ZTF
59149.36225689994,r,19.514400482177734,0.1812569946050644,,ZTF
59145.40900459979,g,20.440500259399414,0.1810629963874817,,ZTF
59143.33939810004,r,19.182899475097656,0.0953570008277893,,ZTF
59141.33509259997,r,18.570499420166016,0.11687400192022324,,ZTF
59139.36545140017,r,18.984699249267578,0.1134909987449646,,ZTF
59134.43515049992,r,18.955900192260742,0.09330900013446808,,ZTF
59130.439965299796,r,18.694599151611328,0.1044590026140213,,ZTF
59126.39018520014,r,18.5226993560791,0.0975169986486435,,ZTF
59125.46312499978,r,18.52630043029785,0.09392499923706055,,ZTF
59124.329201399814,r,18.270999908447266,0.09899900108575821,,ZTF
59123.36041670013,r,18.29290008544922,0.10146699845790863,,ZTF
59122.49584490014,r,18.386899948120117,0.08646900206804276,,ZTF
59121.45164350001,r,18.285900115966797,0.06429799646139145,,ZTF
59121.360729199834,g,19.92169952392578,0.2795400023460388,,ZTF
59120.44245370012,g,19.95400047302246,0.18044400215148926,,ZTF
59120.32269679988,g,19.719900131225586,0.21750399470329285,,ZTF
59118.45525459992,g,19.720199584960938,0.12618200480937958,,ZTF
59117.43616899988,g,19.671600341796875,0.12636999785900116,,ZTF
59117.40056709992,r,17.95400047302246,0.05105699971318245,,ZTF
59116.5247105998,g,19.889999389648438,0.18583500385284424,,ZTF
59116.3839699002,r,17.909700393676758,0.04571700096130371,,ZTF
59115.35964119993,r,18.04789924621582,0.047269001603126526,,ZTF
59114.47539350018,r,17.816099166870117,0.04747600108385086,,ZTF
59114.35032409988,g,19.46929931640625,0.13610799610614777,,ZTF
59112.52461809991,g,19.38960075378418,0.12978999316692352,,ZTF
59112.40796299977,r,17.78700065612793,0.045506998896598816,,ZTF
59111.42526620021,r,17.80229949951172,0.06235300004482269,,ZTF
59111.39313660003,g,19.45319938659668,0.14548499882221222,,ZTF
59110.524131900165,g,19.11199951171875,0.12508800625801086,,ZTF
59110.45637729997,r,16.581300735473633,0.12348400056362152,,ZTF
59108.47394679999,r,17.75,0.04708399996161461,,ZTF
59108.46410880005,r,17.708499908447266,0.07070299983024597,,ZTF
59108.3686573999,g,19.053199768066406,0.1280210018157959,,ZTF
59106.488576400094,g,18.888999938964844,0.10244999825954437,,ZTF
59104.458726900164,r,17.635700225830078,0.06258700042963028,,ZTF
59096.49190969998,g,17.937599182128906,0.05693700164556503,,ZTF
59096.38309030002,r,17.296899795532227,0.053426001220941544,,ZTF
59095.42944440013,r,17.225299835205078,0.05053099989891052,,ZTF
59094.39053239999,r,17.24139976501465,0.043136999011039734,,ZTF
59093.48746530013,r,17.150299072265625,0.07028000056743622,,ZTF
59093.44452549983,g,17.877500534057617,0.06414999812841415,,ZTF
59092.42025459977,g,17.73940086364746,0.047905001789331436,,ZTF
59091.41096059978,g,17.703500747680664,0.04303000122308731,,ZTF
59090.50587960007,r,16.957700729370117,0.032634999603033066,,ZTF
59089.48746530013,g,17.652999877929688,0.04480399936437607,,ZTF
59089.46841439977,r,16.9375,0.040724001824855804,,ZTF
59088.50289350003,g,17.61680030822754,0.041749000549316406,,ZTF
59086.49907410005,g,17.581499099731445,0.05274299904704094,,ZTF
59086.44635420013,r,16.86840057373047,0.04795600101351738,,ZTF
59084.4302662001,g,17.57979965209961,0.03721899911761284,,ZTF
59083.573971,c,17.304221,0.055099,,ATLAS
59087.582782,c,17.237079,0.059497,,ATLAS
59111.569738,c,18.327966,0.175056,,ATLAS
59115.632558,c,18.529935,0.169363,,ATLAS
59077.614051,o,17.270462,0.11013,,ATLAS
59085.573203,o,17.046479,0.063559,,ATLAS
59089.596002,o,17.083139,0.092968,,ATLAS
59093.531568,o,17.293151,0.095083,,ATLAS
59095.531048,o,17.402666,0.106218,,ATLAS
59097.572121,o,17.504855,0.080742,,ATLAS
59105.557501,o,17.592838,0.105144,,ATLAS
59109.518473,o,17.684754,0.113802,,ATLAS
59113.6014,o,17.735175,0.190852,,ATLAS
59117.52181,o,17.666492,0.158605,,ATLAS
59121.520472,o,18.12525,0.199467,,ATLAS
59093.56046156282,i,17.547825,0.0645853117976534,,Pan-STARRS
59094.56624885723,i,17.67165,0.024920205991658097,,Pan-STARRS
59161.54870738127,i,20.370900000000002,0.6690749360124026,,Pan-STARRS
59134.58184265924,w,19.534366666666667,0.41079993102888107,,Pan-STARRS
59137.6111353022,w,19.2307,0.039136939072952945,,Pan-STARRS
59142.576066717374,w,19.617975,0.12760110697012128,,Pan-STARRS
59193.29351479445,w,21.0343,0.13580800172792898,,Pan-STARRS
59194.28820035365,w,24.0084,2.3869096505733114,,Pan-STARRS
